Team,Wins,Losses,Seed,PF, Playoffs,Haley,Bottom 4,Bolan
BRYCE,8.5,4.5,2.3,1340.7,100.0,20.19,0.0,0.0
JON,7.6,5.4,2.6,1456.5,92.88,27.71,0.0,0.0
MATTY,7.5,5.5,3.5,1427.8,65.44,17.54,0.0,0.0
MCCLURE,7.5,5.5,3.7,1384.2,56.73,13.49,0.01,0.0
STD_BUSH,7.5,5.5,4.3,1377.0,49.99,11.76,0.01,0.01
JOE,6.6,6.4,5.9,1424.3,29.61,8.01,10.27,1.5
NICK,6.6,6.4,6.9,1374.7,5.15,1.26,20.09,3.58
JAMES,6.4,6.6,8.1,1328.9,0.21,0.05,54.51,11.3
DUC,5.6,7.4,8.6,1433.7,0.0,0.0,51.69,7.71
LOGAN,6.4,6.6,9.0,1272.5,0.0,0.0,63.43,15.3
HUNYAR,4.4,8.6,11.2,1213.3,0.0,0.0,100.0,32.61
STEVE,3.4,9.6,11.8,1257.0,0.0,0.0,100.0,27.98
